Sigla,Nome,Ano/Semestre,AU,TR,AU+TR,EXT,FREQ,NOTA
SCC0200,Informação Profissional e Tutoria Acadêmica em Ciências da Computação,2023/1,2,0,2,30,100,10.0
SCC0221,Introdução à Ciência de Computação I,2023/1,4,1,5,90,97,9.0
SCC0222,Laboratório de Introdução à Ciência de Computação I,2023/1,2,2,4,90,100,9.8
SMA0300,Geometria Analítica,2023/1,4,0,4,60,100,7.5
SMA0353,Cálculo I,2023/1,4,0,4,60,100,10.0
SSC0104,Evolução Histórica da Computação e Aplicações,2023/1,2,1,3,60,30,10.0
SSC0109,Prática em Lógica Digital,2023/1,2,1,3,60,100,10.0
SSC0117,Introdução à Lógica Digital,2023/1,2,1,3,60,93,8.5
SSC0180,Eletrônica para Computação,2023/1,2,2,4,90,94,10.0
7600105,Física Básica I,2023/2,4,0,4,60,100,9.0
SCC0201,Introdução à Ciência de Computação II,2023/2,4,2,6,120,97,9.4
SCC0202,Algoritmos e Estruturas de Dados I,2023/2,4,2,6,120,97,9.8
SCC0220,Laboratório de Introdução à Ciência da Computação II,2023/2,4,0,4,60,100,10.0
SMA0180,Matemática Discreta I,2023/2,4,0,4,60,100,10.0
SMA0354,Cálculo II,2023/2,4,0,4,60,100,9.4
SSC0108,Prática em Sistemas Digitais,2023/2,2,1,3,60,90,10.0
SSC0118,Sistemas Digitais,2023/2,2,1,3,60,80,8.9
7600109,Laboratório de Física Geral I,2024/1,2,0,2,30,100,9.2
SCC0215,Organização de Arquivos,2024/1,3,2,5,105,94,9.1
SCC0216,Modelagem Computacional em Grafos,2024/1,2,1,3,60,100,9.7
SMA0355,Cálculo III,2024/1,4,0,4,60,100,8.9
SSC0103,Programação Orientada a Objetos,2024/1,2,1,3,60,100,9.8
SSC0902,Organização e Arquitetura de Computadores,2024/1,4,1,5,90,15,9.1
SSC0960,Programação Funcional,2024/1,2,1,3,60,100,9.1
SCC0218,Algoritmos Avançados e Aplicações,2024/2,2,2,4,90,100,8.5
SCC0227,Seminários em Computação I,2024/2,1,0,1,15,88,8.8
SME0123,Estatística,2024/2,4,0,4,60,89,7.8
SME0142,Álgebra Linear e Aplicações,2024/2,4,1,5,90,86,8.1
SSC0124,Análise e Projeto Orientados a Objetos,2024/2,2,1,3,60,15,9.0
SSC0140,Sistemas Operacionais I,2024/2,4,2,6,120,30,8.7
AEX0242,Atividades extensionistas,2024/2,0,0,0,20,,
SCC0219,Introdução ao Desenvolvimento Web,2025/1,4,1,5,90,10,9.1
SCC0240,Bases de Dados,2025/1,4,2,6,120,100,9.5
SME0104,Cálculo Numérico,2025/1,4,0,4,60,90,7.0
SME0121,Processos Estocásticos,2025/1,4,0,4,60,80,9.4
SSC0130,Engenharia de Software,2025/1,4,1,5,90,15,9.9
SSC0142,Redes de Computadores,2025/1,4,2,6,120,30,7.2
SCC0205,Teoria da Computação e Linguagens Formais,2025/2,4,2,6,10,,MA
SCC0230,Inteligência Artificial,2025/2,4,1,5,10,,MA
SCC0245,Processamento Analítico de Dados,2025/2,3,2,5,30,,MA
SCC0252,Visualização Computacional,2025/2,3,1,4,,,MA
SME0110,Programação Matemática,2025/2,4,2,6,,,MA
SSC0903,Computação de Alto Desempenho,2025/2,4,1,5,,,MA
SSC0953,Sistemas Open Source,2025/2,2,2,4,,,MA
