Sigla,Ano/Semestre,Nome,AU,TR,AU+TR,EXT,FREQ,NOTA
SCC0200,2023/1,Informação Profissional e Tutoria Acadêmica em Ciências da Computação,2,0,2,0,90,9.0
SCC0221,2023/1,Introdução à Ciência de Computação I,4,1,5,10,97,7.9
SCC0222,2023/1,Laboratório de Introdução à Ciência de Computação I,2,2,4,0,100,8.4
SMA0300,2023/1,Geometria Analítica,4,0,4,0,100,7.8
SMA0353,2023/1,Cálculo I,4,0,4,0,100,10.0
SSC0104,2023/1,Evolução Histórica da Computação e Aplicações,2,1,3,30,100,10.0
SSC0109,2023/1,Prática em Lógica Digital,2,1,3,0,90,8.5
SSC0117,2023/1,Introdução à Lógica Digital,2,1,3,0,100,8.0
SSC0180,2023/1,Eletrônica para Computação,2,2,4,10,100,10.0
7600105,2023/2,Física Básica I,4,0,4,0,100,7.9
SCC0201,2023/2,Introdução à Ciência de Computação II,4,2,6,0,100,10.0
SCC0202,2023/2,Algoritmos e Estruturas de Dados I,4,2,6,0,93,8.8
SCC0220,2023/2,Laboratório de Introdução à Ciência da Computação II,4,0,4,0,100,9.6
SMA0180,2023/2,Matemática Discreta I,4,0,4,0,100,9.2
SMA0354,2023/2,Cálculo II,4,0,4,0,100,6.9
SSC0108,2023/2,Prática em Sistemas Digitais,2,1,3,0,100,10.0
SSC0118,2023/2,Sistemas Digitais,2,1,3,0,100,9.1
7600109,2024/1,Laboratório de Fisica Geral I,2,0,2,0,83,7.6
SCC0215,2024/1,Organização de Arquivos,3,2,5,0,94,8.7
SCC0216,2024/1,Modelagem Computacional em Grafos,2,1,3,0,100,9.1
SMA0355,2024/1,Cálculo III,4,0,4,0,100,7.5
SSC0103,2024/1,Programação Orientada a Objetos,2,1,3,0,100,8.7
SSC0119,2024/1,Prática em Organização de Computadores,2,1,3,0,75,10.0
SSC0902,2024/1,Organização e Arquitetura de Computadores,4,1,5,15,93,8.8
SSC0960,2024/1,Programação Funcional,2,1,3,0,100,9.6
SCC0218,2024/2,Algoritmos Avançados e Aplicações,2,2,4,5,100,7.5
SCC0271,2024/2,Introdução à Bioinformática,2,1,3,0,100,8.9
SCC0911,2024/2,Tópicos Avançados em Ciências de Computação II,3,2,5,0,100,9.0
SMA0356,2024/2,Cálculo IV,4,0,4,0,70,8.0
SME0123,2024/2,Estatística,4,1,5,0,100,8.6
SME0142,2024/2,Álgebra Linear e Aplicações,4,0,4,0,93,10.0
SSC0124,2024/2,Análise e Projeto Orientados a Objetos,2,1,3,15,75,7.8
SSC0140,2024/2,Sistemas Operacionais I,4,2,6,30,100,8.3
SSC0713,2024/2,Sistemas Evolutivos e Aplicados à Robótica,2,2,4,10,100,10.0
SSC0958,2024/2,Criptomoedas e Blockchain,4,2,6,0,82,9.1
SCC0219,2025/1,Introdução ao Desenvolvimento Web,4,1,5,10,97,8.4
SCC0240,2025/1,Bases de Dados,4,2,6,0,96,9.2
SCC0261,2025/1,Multimídia,2,0,2,0,80,9.1
SME0104,2025/1,Cálculo Numérico,4,0,4,0,100,9.5
SME0121,2025/1,Processos Estocásticos,4,0,4,0,80,8.5
SME0130,2025/1,Redes Complexas,4,2,6,0,100,10.0
SSC0130,2025/1,Engenharia de Software,4,1,5,15,100,8.4
SSC0142,2025/1,Redes de Computadores,4,2,6,30,80,7.7
