Subject,Code,Type,Semester,RequirementOf,Goal,About
Informação Profissional e Tutoria Acadêmica em Ciências da Computação,SCC0200,Disciplinas Obrigatórias,1º Semestre Ideal,,"Ambientar o estudante com o curso de Bacharelado em Ciências da Computação, proporcionando uma visão global dos conteúdos do currículo e das várias áreas da Computação. Familiarizar o estudante com a rotina acadêmica, introduzindo e discutindo as diversas questões relacionadas, visando acompanhar o rendimento dos alunos, orientá-los sobre o andamento do curso e prover orientação sobre atividades complementares e sobre a carreira em computação, aumentando o aproveitamento dos alunos e diminuindo evasão e retenção no curso.","Disciplina de caráter informativo, oferecendo uma visão geral da Computação, abordando-se, na forma de palestras e seminários, uma introdução a suas várias áreas de atuação (como banco de dados, engenharia de software, sistemas operacionais, inteligência artificial, computação gráfica, redes de computadores e web, dentre outras), seu desenvolvimento, aplicações e consequências tecnológicas, sociais e econômicas, assim como seu impacto no mercado de trabalho e na academia. Realização de atividades de tutoria acadêmica, com discussão sobre demandas da nova rotina acadêmica, planejamento de estudos, rendimento acadêmico, atividades extracurriculares e oportunidades de formação oferecidas pela instituição, orientações sobre a carreira em Computação, e comportamento ético e cidadão no ambiente universitário, dentre outros assuntos de interesse dos alunos."
Introdução à Ciência de Computação I,SCC0221,Disciplinas Obrigatórias,1º Semestre Ideal,SCC0201,"Apresentar os conceitos básicos para o desenvolvimento de programas, utilizando uma linguagem de programação como apoio.","Conceitos básicos sobre computadores: hardware, software, sistema operacional, compiladores, representação interna de dados e linguagem de programação. Resolução de problemas e desenvolvimento de algoritmos: análise e solução de problemas, representação e documentação. Estruturas de programas: decisão e repetição. Tipos de dados simples. Modularização de programas: procedimentos, funções e passagem de parâmetros. Tipos de dados compostos: vetores, matrizes, cadeias de caracteres, registros, conjuntos e estruturas dinâmicas (ponteiros). Arquivos. Depuração de programas. Programação em linguagem estruturada.
Atividades de Extensão: Divulgação de materiais (via youtube, palestras, etc.) sobre como um computador é programado, como funciona e o que são linguagens de programação. Também podem ser realizados trabalhos extensionistas com personalidades da computação menos conhecidas como Charles Babbage e Dennis Ritchie, ou valorizando o papel de mulheres na computação como Ada Lovelace, Grace Hopper e Margaret Hamilton.
Carga horária: 10 horas."
Laboratório de Introdução à Ciência de Computação I,SCC0222,Disciplinas Obrigatórias,1º Semestre Ideal,,"Implementar em laboratório as técnicas de programação apresentadas em Introdução à Ciência da Computação I, utilizando uma linguagem de programação estruturada.","Resolução de problemas e desenvolvimento de programas: análise e solução de problemas, representação e documentação. Estruturas de programas: decisão e repetição. Tipos de dados simples. Modularização de programas: procedimentos, funções e passagem de parâmetros. Tipos de dados compostos: vetores, matrizes, cadeias de caracteres, registros, conjuntos e estruturas dinâmicas (ponteiros). Arquivos. Depuração de programas. Programação em linguagem estruturada."
Geometria Analítica,SMA0300,Disciplinas Obrigatórias,1º Semestre Ideal,SMA0394,"Visa familiarizar os alunos com a geometria analítica no plano e no espaço, com ênfase nos seus aspectos geométricos e suas traduções em coordenadas cartesianas","Coordenadas cartesianas.  Vetores. Dependência linear. Bases. Produto escalar. Produto vetorial. Translação e rotação. Retas e planos. Distância e ângulo. Cônicas. Equações reduzidas das superfícies quádricas. Coordenadas polares, cilíndricas e esféricas."
Cálculo I,SMA0353,Disciplinas Obrigatórias,1º Semestre Ideal,7600105; SMA0354; SMA0392,"Fazer com que os alunos familiarizem-se com os conceitos de limite, continuidade, diferenciabilidade e primitivas de funções de uma variável.",O conjunto dos números reais. Funções Reais de uma variável. Composição de funções. Limites. Continuidade. Diferenciabilidade. Derivação de uma composição.  Taxas relacionadas. Máximos e mínimos. Gráficos. Diferencial. Fórmula de Taylor. Primitivas.
Evolução Histórica da Computação e Aplicações,SSC0104,Disciplinas Obrigatórias,1º Semestre Ideal,,"Apresentar ao aluno um panorama da evolução da computação, identificando marcos históricos, personagens relevantes e suas contribuições. Motivar o aluno ingressante por meio da apresentação de desenvolvimentos e aplicações importantes da computação em diferentes áreas, relacionando-os aos fundamentos matemáticos a serem estudados ao longo do curso.","Panorama histórico da Informática e Computação. O papel dos instrumentos de cálculo e sua evolução. Sistemas de hardware e software, personagens, organizações e empresas que contribuíram significativamente para o desenvolvimento da Computação como ciência e tecnologia. Sistemas de hardware: marcos históricos e evolução. Desenvolvimento de sistemas de software em diferentes disciplinas da Informática: marcos históricos e evolução. Exemplos de aplicação.

Atividades de extensão: Preparação de conteúdos históricos e atuais sobre a computação que são divulgados em redes sociais do Museu de Computação ou nas exposições presenciais existentes dentro do Museu de Computação. A carga horária corresponde a 15 horas."
Prática em Lógica Digital,SSC0109,Disciplinas Obrigatórias,1º Semestre Ideal,,"Introduzir o aluno na prática de conceitos básicos de eletrônica e lógica digital, e técnicas de projeto de subsistemas digitais com ênfase em circuitos combinacionais.","Prática em circuitos combinacionais, funções lógicas, circuitos lógicos, simplificação algébrica, formas normais disjuntivas e conjuntivas, mapas de Karnaugh, decodificadores, representação numérica, circuitos somadores, subtratores e multiplicadores, multiplex e demultiplex."
Introdução à Lógica Digital,SSC0117,Disciplinas Obrigatórias,1º Semestre Ideal,SSC0118,"Introduzir ao aluno conceitos básicos de eletrônica elógica Digital, técnicas de projeto de subsistemas digitais com ênfase em circuitos combinacionais.","Circuitos combinacionais, funções lógicas, circuitoslógicos, simplificação algébrica, formas normais disjuntivas e conjuntivas, mapas de Karnaugh, decodificadores, representação numérica, circuitos somadores, subtratores e multiplicadores, multiplex e demultiplex."
Eletrônica para Computação,SSC0180,Disciplinas Obrigatórias,1º Semestre Ideal,,Familiarizar os alunos com o funcionamento eletrônico das portas e lógicas com conceitos relacionados a dispositivos eletrônicos.,"Conceitos básicos de circuitos eletrônicos, com ênfase na utilização de componentes eletrônicos básicos, tais como resistores, capacitores, diodos e transistores, no projeto de circuitos e portas lógicas digitais. Uso de simuladores de circuitos elétricos para visualização de formas de onda. Estudo do efeito de fontes de tensão de corrente contínua em circuitos elétricos. Aplicações de transistores como chaves binárias no projeto de funções lógicas, como portas NOT, AND, OR e XOR. Efeitos transitórios na propagação de sinais elétricos em circuitos de lógica digital, como tempos de subida e descida, efeitos fan-out e suas formas de ondas. Circuitos NMOS e CMOS: caracterização e efeitos de variação de voltagem e frequência.

Atividades de extensão: Produção de material como recurso rducacional ou outros para uso fora da USP (por ex, vestibulandos, ensino médio, cursos profissionalizantes, etc). Projetos que resolvam problemas fora da USP. Feiras ou atividades para a sociedade. A carga horária corresponde a 10 horas."
Física Básica I,7600105,Disciplinas Obrigatórias,2º Semestre Ideal,7600109,Ensinar aos estudantes os conceitos básicos da Mecânica Newtoniana e os métodos da Física como ciência. Capacitá-los a formular e resolver problemas referentes ao movimento de corpos e sistemas de corpos sob ação de forças.,"1. Medidas e unidades;
2. Movimento em uma, duas e três dimensões;
3. Leis de Newton e suas aplicações;
4. Trabalho e energia;
5. Conservação de Energia;
6. Sistemas de Partículas e Conservação de Momento;
7. Rotação e conservação do momento angular;
8. Fluidos;
9. Oscilações e ondas: Oscilações, movimento ondulatório."
