source,target,weight
SCC0200,SCC0200,0
SCC0221,SCC0201,1
SCC0222,SCC0222,0
SMA0300,SMA0394,1
SMA0353,7600105,1
SMA0353,SMA0354,1
SMA0353,SMA0392,1
SSC0104,SSC0104,0
SSC0109,SSC0109,0
SSC0117,SSC0118,1
SSC0180,SSC0180,0
7600105,7600109,1
SCC0201,SCC0215,1
SCC0201,SCC0215,1
SCC0201,SCC0205,1
SCC0201,SCC0230,1
SCC0201,SCC0210,1
SCC0201,SCC0210,1
SCC0201,SCC0251,1
SCC0201,SCC0251,1
SCC0201,SCC0261,1
SCC0201,SSC0723,1
SCC0201,SSC0951,1
SCC0201,SSC0951,1
SCC0201,SCC0273,1
SCC0201,SSC0724,1
SCC0202,SCC0216,1
SCC0202,SSC0103,1
SCC0202,SSC0960,1
SCC0202,SCC0282,1
SCC0202,SCC0284,1
SMA0180,SCC0283,1
SMA0180,SCC0283,1
SMA0354,SMA0355,1
SMA0354,SME0123,1
SMA0354,SMA0390,1
SSC0108,SSC0108,0
SSC0118,SSC0902,1
7600109,7600109,0
SCC0215,SCC0240,1
SCC0216,SCC0218,1
SCC0216,SME0130,1
SCC0216,SME0130,1
SCC0216,SCC0271,1
SCC0216,SCC0271,1
SMA0355,SMA0393,1
SSC0103,SSC0124,1
SSC0103,SCC0250,1
SSC0103,SSC0770,1
SSC0103,SCC0260,1
SSC0103,SCC0225,1
SSC0103,SCC0252,1
SSC0902,SSC0140,1
SSC0902,SSC0140,1
SSC0902,SSC0140,1
SSC0902,SSC0740,1
SSC0902,SSC0643,1
SSC0960,SSC0960,0
SCC0218,SCC0218,0
SME0123,SME0121,1
SME0123,SME0806,1
SME0123,SME0808,1
SME0123,SME0822,1
SME0123,SME0823,1
SME0142,SME0104,1
SME0142,SME0104,1
SSC0124,SSC0130,1
SSC0124,SSC0725,1
SSC0140,SSC0142,1
SSC0140,SSC0903,1
SSC0140,SSC0903,1
SSC0140,SSC0141,1
SSC0140,SSC0154,1
SSC0140,SSC0160,1
SSC0140,SSC0160,1
SSC0140,SSC0950,1
SSC0140,SSC0745,1
SCC0219,SCC0219,0
SCC0240,SCC0247,1
SCC0240,SCC0243,1
SCC0240,SCC0245,1
SME0104,SME0110,1
SME0121,SME0121,0
SSC0130,SSC0959,1
SSC0130,SCC0280,1
SSC0130,SSC0123,1
SSC0130,SSC0720,1
SSC0130,SSC0726,1
SSC0142,SSC0900,1
SSC0142,SSC0904,1
SSC0142,SSC0904,1
SSC0142,SSC0954,1
SSC0142,SSC0158,1
SSC0142,SSC0158,1
SSC0142,SSC0158,1
SSC0142,SSC0152,1
SSC0142,SSC0748,1
SCC0205,SCC0217,1
SCC0207,SCC0207,0
SCC0230,SCC0270,1
SCC0230,SCC0276,1
SCC0230,SCC0633,1
SCC0230,SCC0231,1
SCC0230,SCC0233,1
SCC0230,SCC0244,1
SCC0230,SCC0244,1
SCC0230,SCC0277,1
SCC0230,SCC0287,1
SME0110,SME0110,0
SSC0903,SSC0903,0
SCC0217,SCC0217,0
SCC0250,SCC0250,0
SSC0120,SSC0120,0
SSC0900,SSC0901,1
SSC0904,SSC0744,1
SSC0904,SSC0744,1
SCC0291,SCC0292,1
SCC0292,SCC0292,0
5500002,5500002,0
SMA0392,SMA0392,0
SMA0394,SMA0394,0
SMA0390,SMA0390,0
SMA0393,SMA0393,0
SMA0391,SMA0391,0
IAU0126,IAU0126,0
SCC0220,SCC0220,0
SSC0119,SSC0119,0
SCC0213,SCC0213,0
SCC0227,SCC0228,1
SCC0295,SCC0295,0
SCC0210,SCC0211,1
SCC0228,SCC0229,1
SCC0296,SCC0296,0
SSC0953,SSC0953,0
SCC0211,SCC0211,0
SCC0229,SCC0229,0
SCC0247,SCC0247,0
SSC0770,SSC0770,0
SSC0954,SSC0954,0
SCC0209,SCC0209,0
SCC0241,SCC0241,0
SCC0243,SCC0243,0
SCC0245,SCC0245,0
SCC0251,SCC0251,0
SCC0260,SCC0260,0
SCC0261,SCC0261,0
SCC0270,SCC0270,0
SCC0276,SCC0276,0
SCC0282,SCC0282,0
SCC0284,SCC0284,0
SCC0633,SCC0633,0
SCC0910,SCC0910,0
SME0130,SME0130,0
SME0806,SME0806,0
SSC0141,SSC0141,0
SSC0147,SSC0147,0
SSC0154,SSC0154,0
SSC0158,SSC0158,0
SSC0160,SSC0160,0
SSC0712,SSC0712,0
SSC0714,SSC0714,0
SSC0723,SSC0723,0
SSC0725,SSC0725,0
SSC0740,SSC0741,1
SSC0950,SSC0950,0
SSC0951,SSC0951,0
SSC0959,SSC0959,0
SCC0225,SCC0225,0
SCC0231,SCC0231,0
SCC0233,SCC0233,0
SCC0244,SCC0244,0
SCC0252,SCC0252,0
SCC0254,SCC0254,0
SCC0271,SCC0271,0
SCC0273,SCC0273,0
SCC0275,SCC0275,0
SCC0277,SCC0277,0
SCC0280,SCC0280,0
SCC0283,SCC0283,0
SCC0287,SCC0287,0
SCC0911,SCC0911,0
SME0808,SME0808,0
SME0822,SME0878,1
SME0822,SME0878,1
SME0823,SME0823,0
SSC0123,SSC0123,0
SSC0128,SSC0128,0
SSC0152,SSC0152,0
SSC0159,SSC0159,0
SSC0643,SSC0643,0
SSC0713,SSC0713,0
SSC0715,SSC0715,0
SSC0720,SSC0720,0
SSC0724,SSC0724,0
SSC0726,SSC0726,0
SSC0741,SSC0741,0
SSC0744,SSC0744,0
SSC0745,SSC0745,0
SSC0748,SSC0748,0
SSC0901,SSC0901,0
SSC0952,SSC0952,0
SSC0958,SSC0958,0
SCC0289,SCC0290,1
SCC0293,SCC0294,1
SCC0300,SCC0300,0
