Sigla,Nome,Ano/Semestre,AU,TR,AU+TR,EXT,FREQ,NOTA,student_id
SCC0200,Informação Profissional e Tutoria Acadêmica em Ciências da Computação,2023/1,2,0,2,30,100.0,10.0,0
SCC0221,Introdução à Ciência de Computação I,2023/1,4,1,5,90,97.0,9.0,0
SCC0222,Laboratório de Introdução à Ciência de Computação I,2023/1,2,2,4,90,100.0,9.8,0
SMA0300,Geometria Analítica,2023/1,4,0,4,60,100.0,7.5,0
SMA0353,Cálculo I,2023/1,4,0,4,60,100.0,10.0,0
SSC0104,Evolução Histórica da Computação e Aplicações,2023/1,2,1,3,60,30.0,10.0,0
SSC0109,Prática em Lógica Digital,2023/1,2,1,3,60,100.0,10.0,0
SSC0117,Introdução à Lógica Digital,2023/1,2,1,3,60,93.0,8.5,0
SSC0180,Eletrônica para Computação,2023/1,2,2,4,90,94.0,10.0,0
7600105,Física Básica I,2023/2,4,0,4,60,100.0,9.0,0
SCC0201,Introdução à Ciência de Computação II,2023/2,4,2,6,120,97.0,9.4,0
SCC0202,Algoritmos e Estruturas de Dados I,2023/2,4,2,6,120,97.0,9.8,0
SCC0220,Laboratório de Introdução à Ciência da Computação II,2023/2,4,0,4,60,100.0,10.0,0
SMA0180,Matemática Discreta I,2023/2,4,0,4,60,100.0,10.0,0
SMA0354,Cálculo II,2023/2,4,0,4,60,100.0,9.4,0
SSC0108,Prática em Sistemas Digitais,2023/2,2,1,3,60,90.0,10.0,0
SSC0118,Sistemas Digitais,2023/2,2,1,3,60,80.0,8.9,0
7600109,Laboratório de Física Geral I,2024/1,2,0,2,30,100.0,9.2,0
SCC0215,Organização de Arquivos,2024/1,3,2,5,105,94.0,9.1,0
SCC0216,Modelagem Computacional em Grafos,2024/1,2,1,3,60,100.0,9.7,0
SMA0355,Cálculo III,2024/1,4,0,4,60,100.0,8.9,0
SSC0103,Programação Orientada a Objetos,2024/1,2,1,3,60,100.0,9.8,0
SSC0902,Organização e Arquitetura de Computadores,2024/1,4,1,5,90,15.0,9.1,0
SSC0960,Programação Funcional,2024/1,2,1,3,60,100.0,9.1,0
SCC0218,Algoritmos Avançados e Aplicações,2024/2,2,2,4,90,100.0,8.5,0
SCC0227,Seminários em Computação I,2024/2,1,0,1,15,88.0,8.8,0
SME0123,Estatística,2024/2,4,0,4,60,89.0,7.8,0
SME0142,Álgebra Linear e Aplicações,2024/2,4,1,5,90,86.0,8.1,0
SSC0124,Análise e Projeto Orientados a Objetos,2024/2,2,1,3,60,15.0,9.0,0
SSC0140,Sistemas Operacionais I,2024/2,4,2,6,120,30.0,8.7,0
SCC0219,Introdução ao Desenvolvimento Web,2025/1,4,1,5,90,10.0,9.1,0
SCC0240,Bases de Dados,2025/1,4,2,6,120,100.0,9.5,0
SME0104,Cálculo Numérico,2025/1,4,0,4,60,90.0,7.0,0
SME0121,Processos Estocásticos,2025/1,4,0,4,60,80.0,9.4,0
SSC0130,Engenharia de Software,2025/1,4,1,5,90,15.0,9.9,0
SSC0142,Redes de Computadores,2025/1,4,2,6,120,30.0,7.2,0
SCC0200,Informação Profissional e Tutoria Acadêmica em Ciências da Computação,2023/1,2,0,2,0,100.0,10.0,1
SCC0221,Introdução à Ciência de Computação I,2023/1,4,1,5,0,100.0,9.2,1
SCC0222,Laboratório de Introdução à Ciência de Computação I,2023/1,2,2,4,0,100.0,10.0,1
SMA0300,Geometria Analítica,2023/1,4,0,4,0,100.0,7.3,1
SMA0353,Cálculo I,2023/1,4,0,4,0,100.0,10.0,1
SSC0104,Evolução Histórica da Computação e Aplicações,2023/1,2,1,3,30,100.0,10.0,1
SSC0109,Prática em Lógica Digital,2023/1,2,1,3,0,100.0,10.0,1
