ISO3,Country,Continent
ABW,Aruba,Other/Unknown
AFG,Afghanistan,Other/Unknown
AGO,Angola,Other/Unknown
AIA,Anguilla,Other/Unknown
ALA,Åland Islands,Other/Unknown
ALB,Albania,Europe
AND,Andorra,Other/Unknown
ARE,United Arab Emirates,Other/Unknown
ARG,Argentina,South America
ARM,Armenia,Other/Unknown
ASM,American Samoa,Other/Unknown
ATA,Antarctica,Other/Unknown
ATF,French Southern Territories,Other/Unknown
ATG,Antigua and Barbuda,Other/Unknown
AUS,Australia,Oceania
AUT,Austria,Europe
AZE,Azerbaijan,Other/Unknown
BDI,Burundi,Other/Unknown
BEL,Belgium,Europe
BEN,Benin,Other/Unknown
BES,"Bonaire, Sint Eustatius and Saba",Other/Unknown
BFA,Burkina Faso,Other/Unknown
BGD,Bangladesh,Asia
BGR,Bulgaria,Europe
BHR,Bahrain,Other/Unknown
BHS,Bahamas,Other/Unknown
BIH,Bosnia and Herzegovina,Europe
BLM,Saint Barthélemy,Other/Unknown
BLR,Belarus,Other/Unknown
BLZ,Belize,North America
BMU,Bermuda,Other/Unknown
BOL,"Bolivia, Plurinational State of",South America
BRA,Brazil,South America
BRB,Barbados,Other/Unknown
BRN,Brunei Darussalam,Other/Unknown
BTN,Bhutan,Other/Unknown
BVT,Bouvet Island,Other/Unknown
BWA,Botswana,Other/Unknown
CAF,Central African Republic,Other/Unknown
CAN,Canada,North America
CCK,Cocos (Keeling) Islands,Other/Unknown
CHE,Switzerland,Europe
CHL,Chile,South America
CHN,China,Asia
CIV,Côte d'Ivoire,Africa
CMR,Cameroon,Other/Unknown
COD,"Congo, The Democratic Republic of the",Other/Unknown
COG,Congo,Other/Unknown
COK,Cook Islands,Other/Unknown
COL,Colombia,South America
COM,Comoros,Other/Unknown
CPV,Cabo Verde,Other/Unknown
CRI,Costa Rica,North America
CUB,Cuba,North America
CUW,Curaçao,Other/Unknown
CXR,Christmas Island,Other/Unknown
CYM,Cayman Islands,Other/Unknown
CYP,Cyprus,Other/Unknown
CZE,Czechia,Europe
DEU,Germany,Europe
DJI,Djibouti,Other/Unknown
DMA,Dominica,Other/Unknown
DNK,Denmark,Europe
DOM,Dominican Republic,North America
DZA,Algeria,Africa
ECU,Ecuador,South America
EGY,Egypt,Africa
ERI,Eritrea,Other/Unknown
ESH,Western Sahara,Other/Unknown
ESP,Spain,Europe
EST,Estonia,Other/Unknown
ETH,Ethiopia,Africa
FIN,Finland,Europe
FJI,Fiji,Oceania
FLK,Falkland Islands (Malvinas),Other/Unknown
FRA,France,Europe
FRO,Faroe Islands,Other/Unknown
FSM,"Micronesia, Federated States of",Other/Unknown
GAB,Gabon,Other/Unknown
GBR,United Kingdom,Europe
GEO,Georgia,Other/Unknown
GGY,Guernsey,Other/Unknown
GHA,Ghana,Africa
GIB,Gibraltar,Other/Unknown
GIN,Guinea,Other/Unknown
